FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
314.7,B,14,B-,4,4,3,,
314.7,B,17,B+,4,4,1,,
314.7,B,14,BO,0,,,,
314.7,B,17,BI,0,,,,
314.7,B,17,AB,4,4,,,
329.0,B,6,AE,10,10,,,
329.0,B,6,OW,,,,,
342.5,B,16,AE,1,1,,,
342.5,B,16,OW,,,,,
342.5,B,16,B-,1,1,1,,
342.5,B,18,B+,1,1,2,,
342.5,B,16,BO,0,,,,
342.5,B,18,BI,0,,,,
342.5,B,18,OW,,,,,
342.5,B,18,B-,1,1,1,,
342.5,B,19,B+,1,1,1,,
344.0,B,18,BO,0,,,,
344.0,B,19,BI,0,,,,
344.9,B,10,AE,5,5,,,
344.9,B,10,OW,,,,,
344.9,B,10,B-,5,5,1,,
344.9,B,12,B+,5,5,2,,
344.9,B,10,BO,0,,,,
344.9,B,12,BI,0,,,,
344.9,B,12,OW,,,,,
344.9,B,12,B-,5,5,1,,
344.9,B,13,B+,5,5,1,,
344.9,B,8,OW,,,,,
344.9,B,8,B-,8,8,2,,
344.9,B,10,B+,8,8,1,,
344.9,B,8,BO,0,,,,
344.9,B,10,BI,0,,,,
344.9,B,10,AB,8,8,,,
344.9,B,7,B-,9,9,1,,
344.9,B,8,B+,9,9,1,,
344.9,B,7,BO,0,,,,
344.9,B,8,BI,0,,,,
344.9,B,6,B-,10,10,1,,
344.9,B,7,B+,10,10,1,,
344.9,B,5,B-,11,11,1,,
344.9,B,6,B+,11,11,1,,
344.9,B,4,B-,13,13,1,,
344.9,B,5,B+,13,13,1,,
344.9,B,5,BO,0,,,,
344.9,B,6,BI,0,,,,
344.9,B,6,AB,11,11,,,
344.9,B,1,B-,14,14,1,,
344.9,B,4,B+,14,14,1,,
344.9,B,1,BO,0,,,,
344.9,B,4,BI,0,,,,
344.9,B,4,AB,14,14,,,
346.3,B,12,BO,0,,,,
346.3,B,13,BI,0,,,,
346.3,B,6,BO,0,,,,
346.3,B,7,BI,0,,,,
346.3,B,4,BO,0,,,,
346.3,B,5,BI,0,,,,
349.6,B,19,OW,,,,,
349.6,B,19,B-,1,1,1,,
349.6,B,20,G+,1,1,1,1,
349.6,B,20,LL,1,1,,,
349.6,B,19,BO,0,,,,
349.6,B,20,BI,0,,,,
349.6,B,20,KL,1,,,,
349.7,B,5,OW,,,,,
350.9,B,4,AE,14,14,,,
350.9,B,4,OW,,,,,
351.9,B,13,OW,,,,,
351.9,B,13,B-,5,5,1,,
351.9,B,14,B+,5,5,1,,
