Time,object,time in min,time spent
22469.0,371.0,374.48333333333335,6869.0
22520.0,372.0,375.3333333333333,6920.0
22553.0,373.0,375.8833333333333,6953.0
22650.0,374.0,377.5,7050.0
22684.0,375.0,378.06666666666666,7084.0
22723.0,376.0,378.71666666666664,7123.0
22778.0,377.0,379.6333333333333,7178.0
22806.0,378.0,380.1,7206.0
22864.0,379.0,381.06666666666666,6664.0
22916.0,380.0,381.93333333333334,6716.0
23137.0,381.0,385.6166666666667,6937.0
23335.0,382.0,388.9166666666667,7135.0
23368.0,383.0,389.46666666666664,7168.0
23415.0,384.0,390.25,7215.0
23442.0,385.0,390.7,7242.0
23495.0,386.0,391.5833333333333,7295.0
23538.0,387.0,392.3,7338.0
23570.0,388.0,392.8333333333333,7370.0
23599.0,389.0,393.31666666666666,7399.0
23793.0,390.0,396.55,7593.0
23819.0,391.0,396.98333333333335,7619.0
23935.0,392.0,398.9166666666667,7735.0
23964.0,393.0,399.4,7164.0
24104.0,394.0,401.73333333333335,7304.0
24128.0,395.0,402.1333333333333,7328.0
24168.0,396.0,402.8,7368.0
24207.0,397.0,403.45,7407.0
24235.0,398.0,403.9166666666667,7435.0
24299.0,399.0,404.98333333333335,7499.0
24380.0,400.0,406.3333333333333,7580.0
24405.0,401.0,406.75,7605.0
24537.0,402.0,408.95,7737.0
24577.0,403.0,409.6166666666667,7777.0
24660.0,404.0,411.0,7860.0
24709.0,405.0,411.81666666666666,7909.0
24783.0,406.0,413.05,7983.0
24786.0,407.0,413.1,7386.0
24840.0,408.0,414.0,7440.0
24962.0,409.0,416.03333333333336,7562.0
25010.0,410.0,416.8333333333333,7610.0
25038.0,411.0,417.3,7638.0
25076.0,412.0,417.93333333333334,7676.0
25097.0,413.0,418.28333333333336,7697.0
25105.0,414.0,418.4166666666667,7705.0
25107.0,415.0,418.45,7707.0
25144.0,416.0,419.06666666666666,7744.0
25296.0,417.0,421.6,7896.0
25386.0,418.0,423.1,7986.0
25419.0,419.0,423.65,8019.0
25434.0,420.0,423.9,8034.0
25473.0,421.0,424.55,7473.0
25567.0,422.0,426.1166666666667,7567.0
25674.0,423.0,427.9,7674.0
25738.0,424.0,428.96666666666664,7738.0
25764.0,425.0,429.4,7764.0
25771.0,426.0,429.51666666666665,7771.0
25788.0,427.0,429.8,7788.0
25810.0,428.0,430.1666666666667,7810.0
25870.0,429.0,431.1666666666667,7870.0
26039.0,430.0,433.98333333333335,8039.0
26065.0,431.0,434.4166666666667,8065.0
26125.0,432.0,435.4166666666667,8125.0
26175.0,433.0,436.25,8175.0
26216.0,434.0,436.93333333333334,8216.0
26266.0,435.0,437.76666666666665,7666.0
26302.0,436.0,438.3666666666667,7702.0
26330.0,437.0,438.8333333333333,7730.0
26366.0,438.0,439.43333333333334,7766.0
26390.0,439.0,439.8333333333333,7790.0
26415.0,440.0,440.25,7815.0
26504.0,441.0,441.73333333333335,7904.0
26579.0,442.0,442.98333333333335,7979.0
26622.0,443.0,443.7,8022.0
26640.0,444.0,444.0,8040.0
26680.0,445.0,444.6666666666667,8080.0
26743.0,446.0,445.71666666666664,8143.0
26778.0,447.0,446.3,8178.0
26854.0,448.0,447.56666666666666,8254.0
26879.0,449.0,447.98333333333335,7679.0
26980.0,450.0,449.6666666666667,7780.0
27037.0,451.0,450.6166666666667,7837.0
27084.0,452.0,451.4,7884.0
27164.0,453.0,452.73333333333335,7964.0
27185.0,454.0,453.0833333333333,7985.0
27249.0,455.0,454.15,8049.0
27431.0,456.0,457.18333333333334,8231.0
27458.0,457.0,457.6333333333333,8258.0
27489.0,458.0,458.15,8289.0
27515.0,459.0,458.5833333333333,8315.0
27537.0,460.0,458.95,8337.0
27562.0,461.0,459.3666666666667,8362.0
27650.0,462.0,460.8333333333333,8450.0
27741.0,463.0,462.35,7941.0
27775.0,464.0,462.9166666666667,7975.0
27833.0,465.0,463.8833333333333,8033.0
27900.0,466.0,465.0,8100.0
27912.0,467.0,465.2,8112.0
27943.0,468.0,465.71666666666664,8143.0
27971.0,469.0,466.18333333333334,8171.0
28016.0,470.0,466.93333333333334,8216.0
28046.0,471.0,467.43333333333334,8246.0
28184.0,472.0,469.73333333333335,8384.0
28220.0,473.0,470.3333333333333,8420.0
28363.0,474.0,472.71666666666664,8563.0
28382.0,475.0,473.03333333333336,8582.0
28436.0,476.0,473.93333333333334,8636.0
28469.0,477.0,474.48333333333335,8069.0
28533.0,478.0,475.55,8133.0
28565.0,479.0,476.0833333333333,8165.0
28591.0,480.0,476.51666666666665,8191.0
28782.0,481.0,479.7,8382.0
