COM	time	Objecttyp	Order Nr(A)
GEN			
25200	589	589	
25200	590	590	
25200	591	591	
25200	592	592	
25200	593	593	
25200	594	594	
25200	595	595	
25200	596	596	
25200	597	597	
25200	598	598	
25200	599	599	
25200	600	600	
25200	601	601	
25200	602	602	
25800	603	603	
25800	604	604	
25800	605	605	
25800	606	606	
25800	607	607	
25800	608	608	
25800	609	609	
25800	610	610	
25800	611	611	
25800	612	612	
25800	613	613	
25800	614	614	
25800	615	615	
25800	616	616	
26400	617	617	
26400	618	618	
26400	619	619	
26400	620	620	
26400	621	621	
26400	622	622	
26400	623	623	
26400	624	624	
26400	625	625	
26400	626	626	
26400	627	627	
26400	628	628	
26400	629	629	
26400	630	630	
27000	631	631	
27000	632	632	
27000	633	633	
27000	634	634	
27000	635	635	
27000	636	636	
27000	637	637	
27000	638	638	
27000	639	639	
27000	640	640	
27000	641	641	
27000	642	642	
27000	643	643	
27000	644	644	
27600	645	645	
27600	646	646	
27600	647	647	
27600	648	648	
27600	649	649	
27600	650	650	
27600	651	651	
27600	652	652	
27600	653	653	
27600	654	654	
27600	655	655	
27600	656	656	
27600	657	657	
27600	658	658	
28200	659	659	
28200	660	660	
28200	661	661	
28200	662	662	
28200	663	663	
28200	664	664	
28200	665	665	
28200	666	666	
28200	667	667	
28200	668	668	
28200	669	669	
28200	670	670	
28200	671	671	
28200	672	672	
